Date,Open,High,Low,Close,Adj Close,Volume
2016-11-18,51.200001,51.200001,51.200001,51.200001,47.430286,0
2016-11-21,52.540001,52.540001,52.540001,52.540001,48.671627,0
2016-11-22,52.520000,52.520000,52.520000,52.520000,48.653095,0
2016-11-23,52.689999,52.689999,52.689999,52.689999,48.810581,0
2016-11-25,52.340000,52.340000,52.340000,52.340000,48.486351,0
2016-11-28,51.450001,51.450001,51.450001,51.450001,47.661877,0
2016-11-29,50.970001,50.970001,50.970001,50.970001,47.217220,0
2016-11-30,53.830002,53.830002,53.830002,53.830002,49.866646,0
2016-12-01,54.070000,54.070000,54.070000,54.070000,50.088982,0
2016-12-02,54.160000,54.160000,54.160000,54.160000,50.172348,0
2016-12-05,54.520000,54.520000,54.520000,54.520000,50.505840,0
2016-12-06,54.560001,54.560001,54.560001,54.560001,50.542900,0
2016-12-07,54.880001,54.880001,54.880001,54.880001,50.839336,0
2016-12-08,55.240002,55.240002,55.240002,55.240002,51.172832,0
2016-12-09,55.310001,55.310001,55.310001,55.310001,51.237679,0
2016-12-12,55.490002,55.490002,55.490002,55.490002,51.404427,0
2016-12-13,56.150002,56.150002,56.150002,56.150002,52.015831,0
2016-12-14,54.880001,54.880001,54.880001,54.880001,50.839336,0
2016-12-15,54.970001,54.970001,54.970001,54.970001,50.922710,0
2016-12-16,55.150002,55.150002,55.150002,55.150002,51.089462,0
2016-12-19,55.000000,55.000000,55.000000,55.000000,50.950508,0
2016-12-20,54.869999,54.869999,54.869999,54.869999,50.830070,0
2016-12-21,54.950001,54.950001,54.950001,54.950001,50.904186,0
2016-12-22,55.150002,55.150002,55.150002,55.150002,51.089462,0
2016-12-23,54.060001,54.060001,54.060001,54.060001,50.992306,0
2016-12-27,54.220001,54.220001,54.220001,54.220001,51.143230,0
2016-12-28,53.840000,53.840000,53.840000,53.840000,50.784790,0
2016-12-29,53.810001,53.810001,53.810001,53.810001,50.756489,0
2016-12-30,53.669998,53.669998,53.669998,53.669998,50.624432,0
2017-01-03,54.410000,54.410000,54.410000,54.410000,51.322445,0
2017-01-04,54.439999,54.439999,54.439999,54.439999,51.350735,0
2017-01-05,54.540001,54.540001,54.540001,54.540001,51.445065,0
2017-01-06,54.389999,54.389999,54.389999,54.389999,51.303577,0
2017-01-09,53.540001,53.540001,53.540001,53.540001,50.501812,0
2017-01-10,53.340000,53.340000,53.340000,53.340000,50.313160,0
2017-01-11,53.849998,53.849998,53.849998,53.849998,50.794216,0
2017-01-12,53.759998,53.759998,53.759998,53.759998,50.709324,0
2017-01-13,53.590000,53.590000,53.590000,53.590000,50.548973,0
2017-01-17,53.790001,53.790001,53.790001,53.790001,50.737621,0
2017-01-18,53.560001,53.560001,53.560001,53.560001,50.520679,0
2017-01-19,53.330002,53.330002,53.330002,53.330002,50.303726,0
2017-01-20,53.560001,53.560001,53.560001,53.560001,50.520679,0
2017-01-23,53.060001,53.060001,53.060001,53.060001,50.049049,0
2017-01-24,53.669998,53.669998,53.669998,53.669998,50.624432,0
2017-01-25,53.959999,53.959999,53.959999,53.959999,50.897976,0
2017-01-26,53.889999,53.889999,53.889999,53.889999,50.831951,0
2017-01-27,53.549999,53.549999,53.549999,53.549999,50.511238,0
2017-01-30,52.580002,52.580002,52.580002,52.580002,49.596287,0
2017-01-31,52.700001,52.700001,52.700001,52.700001,49.709473,0
2017-02-01,52.470001,52.470001,52.470001,52.470001,49.492535,0
2017-02-02,52.720001,52.720001,52.720001,52.720001,49.728344,0
2017-02-03,53.130001,53.130001,53.130001,53.130001,50.115078,0
2017-02-06,52.619999,52.619999,52.619999,52.619999,49.634018,0
2017-02-07,51.740002,51.740002,51.740002,51.740002,48.803955,0
2017-02-08,51.860001,51.860001,51.860001,51.860001,48.917149,0
2017-02-09,52.580002,52.580002,52.580002,52.580002,49.596287,0
2017-02-10,53.020000,53.020000,53.020000,53.020000,50.011318,0
2017-02-13,53.119999,53.119999,53.119999,53.119999,50.105640,0
2017-02-14,53.450001,53.450001,53.450001,53.450001,50.416916,0
2017-02-15,53.299999,53.299999,53.299999,53.299999,50.275429,0
2017-02-16,52.740002,52.740002,52.740002,52.740002,49.747208,0
2017-02-17,52.439999,52.439999,52.439999,52.439999,49.464230,0
2017-02-21,52.770000,52.770000,52.770000,52.770000,49.775505,0
2017-02-22,51.900002,51.900002,51.900002,51.900002,48.954872,0
2017-02-23,51.970001,51.970001,51.970001,51.970001,49.020901,0
2017-02-24,51.410000,51.410000,51.410000,51.410000,48.492680,0
2017-02-27,51.730000,51.730000,51.730000,51.730000,48.794518,0
2017-02-28,51.529999,51.529999,51.529999,51.529999,48.605873,0
2017-03-01,52.490002,52.490002,52.490002,52.490002,49.511398,0
2017-03-02,51.970001,51.970001,51.970001,51.970001,49.020901,0
2017-03-03,51.980000,51.980000,51.980000,51.980000,49.030334,0
2017-03-06,52.150002,52.150002,52.150002,52.150002,49.190689,0
2017-03-07,51.790001,51.790001,51.790001,51.790001,48.851116,0
2017-03-08,50.400002,50.400002,50.400002,50.400002,47.540001,0
2017-03-09,50.590000,50.590000,50.590000,50.590000,47.719215,0
2017-03-10,50.560001,50.560001,50.560001,50.560001,47.690918,0
2017-03-13,50.709999,50.709999,50.709999,50.709999,47.832401,0
2017-03-14,50.110001,50.110001,50.110001,50.110001,47.266453,0
2017-03-15,51.240002,51.240002,51.240002,51.240002,48.332325,0
2017-03-16,51.110001,51.110001,51.110001,51.110001,48.209705,0
2017-03-17,51.119999,51.119999,51.119999,51.119999,48.219135,0
2017-03-20,51.040001,51.040001,51.040001,51.040001,48.143677,0
2017-03-21,50.619999,50.619999,50.619999,50.619999,47.747505,0
2017-03-22,50.549999,50.549999,50.549999,50.549999,47.681484,0
2017-03-23,50.450001,50.450001,50.450001,50.450001,47.587154,0
2017-03-24,50.310001,50.310001,50.310001,50.310001,47.455105,0
2017-03-27,50.209999,50.209999,50.209999,50.209999,47.360775,0
2017-03-28,50.889999,50.889999,50.889999,50.889999,48.017490,0
2017-03-29,51.540001,51.540001,51.540001,51.540001,48.630798,0
2017-03-30,51.400002,51.400002,51.400002,51.400002,48.498703,0
2017-03-31,51.500000,51.500000,51.500000,51.500000,48.593056,0
2017-04-03,51.430000,51.430000,51.430000,51.430000,48.527012,0
2017-04-04,51.880001,51.880001,51.880001,51.880001,48.951607,0
2017-04-05,51.599998,51.599998,51.599998,51.599998,48.687412,0
2017-04-06,52.040001,52.040001,52.040001,52.040001,49.102577,0
2017-04-07,51.880001,51.880001,51.880001,51.880001,48.951607,0
2017-04-10,52.180000,52.180000,52.180000,52.180000,49.234673,0
2017-04-11,52.250000,52.250000,52.250000,52.250000,49.300724,0
2017-04-12,51.939999,51.939999,51.939999,51.939999,49.008217,0
2017-04-13,51.080002,51.080002,51.080002,51.080002,48.196766,0
2017-04-17,51.320000,51.320000,51.320000,51.320000,48.423218,0
2017-04-18,50.849998,50.849998,50.849998,50.849998,47.979744,0
2017-04-19,50.060001,50.060001,50.060001,50.060001,47.234337,0
2017-04-20,50.180000,50.180000,50.180000,50.180000,47.347565,0
2017-04-21,50.099998,50.099998,50.099998,50.099998,47.272079,0
2017-04-24,50.549999,50.549999,50.549999,50.549999,47.696682,0
2017-04-25,51.040001,51.040001,51.040001,51.040001,48.159023,0
2017-04-26,50.770000,50.770000,50.770000,50.770000,47.904263,0
2017-04-27,50.200001,50.200001,50.200001,50.200001,47.366436,0
2017-04-28,50.099998,50.099998,50.099998,50.099998,47.272079,0
2017-05-01,50.029999,50.029999,50.029999,50.029999,47.206028,0
2017-05-02,49.840000,49.840000,49.840000,49.840000,47.026756,0
2017-05-03,49.919998,49.919998,49.919998,49.919998,47.102242,0
2017-05-04,49.029999,49.029999,49.029999,49.029999,46.262474,0
2017-05-05,50.090000,50.090000,50.090000,50.090000,47.262646,0
